
Project Reference(s) Analysis...

References:
 | Reference                                           | Version | License Type | License                                                                       | 
 |--------------------------------------------------------------------------------------------------------------------------------------------------------------| 
 | Microsoft.NETCore.Platforms                         | 1.1.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | Microsoft.NETCore.Targets                           | 1.1.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | Microsoft.Win32.Primitives                          | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | NETStandard.Library                                 | 1.6.1   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | NuGet.Build.Packaging                               | 0.2.2   |              | https://raw.githubusercontent.com/NuGet/NuGet.Build.Packaging/dev/LICENSE.txt | 
 | runtime.native.System                               | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | runtime.native.System.IO.Compression                | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | runtime.native.System.Net.Http                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | runtime.native.System.Security.Cryptography.Apple   | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | runtime.native.System.Security.Cryptography.OpenSsl | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | System.AppContext                                   | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | System.Buffers                                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | System.Collections                                  | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | System.Collections.Concurrent                       | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
 | System.Console                                      | 4.3.0   | MS-EULA      | http://go.microsoft.com/fwlink/?LinkId=329770                                 | 
